##NAME=dungeon_history				
##LABEL=Dungeon History				
#value	weight	excludes	includes	source
Abandoned by creators	3			DMG p.101
Abandoned due to plague	1			DMG p.101
Conquered by invaders	4			DMG p.101
Creators destroyed by attacking raiders	2			DMG p.101
Creators destroyed by discovery made within the site	1			DMG p.101
Creators destroyed by internal conflict	1			DMG p.101
Creators destroyed by magical catastrophe	1			DMG p.101
Creators destroyed by natural disaster	2			DMG p.101
Location cursed by the gods and shunned	1			DMG p.101
Original creator still in control	3			DMG p.101
Overrun by planar creatures	1			DMG p.101
Site of a great miracle	1			DMG p.101
