##NAME=dungeon_history
##DICE=20
##LABEL=Dungeon History
#min_roll	max_roll	value	excludes	includes
1	3	Abandoned by creators
4	4	Abandoned due to plague
5	8	Conquered by invaders
9	10	Creators destroyed by attacking raiders
11	11	Creators destroyed by discovery made within the site
12	12	Creators destroyed by internal conflict
13	13	Creators destroyed by magical catastrophe
14	15	Creators destroyed by natural disaster
16	16	Location cursed by the gods and shunned
17	18	Original creator still in control
19	19	Overrun by planar creatures
20	20	Site of a great miracle
