##NAME=exotic_location
##DICE=20
##LABEL=Exotic Location
#min_roll	max_roll	value	excludes	includes
1	1	Among the branches of a tree
2	2	Around a geyser
3	3	Behind a waterfall
4	4	Buried in an avalanche
5	5	Buried in a sandstorm
6	6	Buried in volcanic ash
7	7	Castle or structure sunken in a swamp
8	8	Castle or structure at the bottom of a sinkhole
9	9	Floating on the sea
10	10	In a meteorite
11	11	On a demiplane or in a pocket dimension
12	12	In an area devastated by a magical catastrophe
13	13	On a cloud
14	14	In the Feywild
15	15	In the Shadowfell
16	16	On an island in an underground sea
17	17	In a volcano
18	18	On the back of a Gargantuan living creature
19	19	Sealed inside a magical dome of force
20	20	Inside a Mordenkainen’s magnificent mansion
